# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
9.3000000000e+03 1.4353627942e+03 1.1830416944e+01 3.0866459904e-01 3.8161888212e-03 3.8428335846e+08 9.5036386277e+06 -2.5082936256e+01 1.0216898860e+03 3.1402737189e+08 1.1157595103e+07 -2.8302518514e+01 1.1992243894e+03 -3.7819715772e+28 -1.9948605038e+08 7.5106780000e+25 3.1422409277e+08 3.0778800000e+08
9.6000000000e+03 1.5294554011e+03 1.3012599649e+01 3.1861941411e-01 4.0663525651e-03 3.8427571224e+08 9.8101425603e+06 -2.5891891972e+01 1.0216695570e+03 3.1401874428e+08 1.1517354837e+07 -2.9214880174e+01 1.1991735714e+03 -3.7819715772e+28 -1.7604393080e+08 7.5106780000e+25 3.1422835704e+08 3.0778800000e+08
9.9000000000e+03 1.6265344226e+03 1.4271022485e+01 3.2857402847e-01 4.3244563325e-03 3.8426782333e+08 1.0116640297e+07 -2.6700831379e+01 1.0216485828e+03 3.1400984297e+08 1.1877099084e+07 -3.0127182533e+01 1.1991211437e+03 -3.7819715772e+28 2.2949411888e+08 7.5106780000e+25 3.1423275630e+08 3.0778800000e+08
1.0200000000e+04 1.7265997975e+03 1.5608067435e+01 3.3852843585e-01 4.5904999657e-03 3.8425969174e+08 1.0423131645e+07 -2.7509753965e+01 1.0216269633e+03 3.1400066797e+08 1.2236827362e+07 -3.1039423740e+01 1.1990671067e+03 -3.7819715772e+28 -9.6774278135e+07 7.5106780000e+25 3.1423729051e+08 3.0778800000e+08
1.0500000000e+04 1.8296514628e+03 1.7026116435e+01 3.4848262999e-01 4.8644833022e-03 3.8425131748e+08 1.0729616411e+07 -2.8318659223e+01 1.0216046987e+03 3.1399121932e+08 1.2596539188e+07 -3.1951601942e+01 1.1990114609e+03 -3.7819715772e+28 1.9938057793e+08 7.5106780000e+25 3.1424195963e+08 3.0778800000e+08
1.0800000000e+04 1.9356893536e+03 1.8527551370e+01 3.5843660462e-01 5.1464061744e-03 3.8424270055e+08 1.1036094400e+07 -2.9127546643e+01 1.0215817888e+03 3.1398149702e+08 1.2956234078e+07 -3.2863715290e+01 1.1989542064e+03 -3.7819715772e+28 -4.2983143293e+07 7.5106780000e+25 3.1424676363e+08 3.0778800000e+08
1.1100000000e+04 2.0447134030e+03 2.0114754076e+01 3.6839035345e-01 5.4362684102e-03 3.8423384095e+08 1.1342565420e+07 -2.9936415714e+01 1.0215582338e+03 3.1397150110e+08 1.3315911551e+07 -3.3775761933e+01 1.1988953438e+03 -3.7819715772e+28 -1.8354630969e+08 7.5106780000e+25 3.1425170247e+08 3.0778800000e+08
1.1400000000e+04 2.1567235424e+03 2.1790106335e+01 3.7834387023e-01 5.7340698323e-03 3.8422473870e+08 1.1649029276e+07 -3.0745265928e+01 1.0215340337e+03 3.1396123157e+08 1.3675571123e+07 -3.4687740021e+01 1.1988348734e+03 -3.7819715772e+28 -3.7015291259e+08 7.5106780000e+25 3.1425677610e+08 3.0778800000e+08
1.1700000000e+04 2.2717197013e+03 2.3555989876e+01 3.8829714869e-01 6.0398102588e-03 3.8421539379e+08 1.1955485775e+07 -3.1554096775e+01 1.0215091884e+03 3.1395068846e+08 1.4035212314e+07 -3.5599647703e+01 1.1987727957e+03 -3.7819715772e+28 -6.8265239121e+08 7.5106780000e+25 3.1426198449e+08 3.0778800000e+08
1.2000000000e+04 2.3897018072e+03 2.5414786372e+01 3.9825018254e-01 6.3534895028e-03 3.8420580624e+08 1.2261934724e+07 -3.2362907745e+01 1.0214836979e+03 3.1393987179e+08 1.4394834640e+07 -3.6511483130e+01 1.1987091109e+03 -3.7819715772e+28 -7.8422675802e+08 7.5106780000e+25 3.1426732759e+08 3.0778800000e+08
1.2300000000e+04 2.5106697857e+03 2.7368877440e+01 4.0820296553e-01 6.6751073726e-03 3.8419597605e+08 1.2568375930e+07 -3.3171698328e+01 1.0214575624e+03 3.1392878158e+08 1.4754437620e+07 -3.7423244452e+01 1.1986438195e+03 -3.7819715772e+28 -9.4428111519e+08 7.5106780000e+25 3.1427280536e+08 3.0778800000e+08
1.2600000000e+04 2.6346235608e+03 2.9420644638e+01 4.1815549138e-01 7.0046636717e-03 3.8418590323e+08 1.2874809197e+07 -3.3980468017e+01 1.0214307817e+03 3.1391741785e+08 1.5114020771e+07 -3.8334929821e+01 1.1985769219e+03 -3.7819715772e+28 -8.5507830102e+08 7.5106780000e+25 3.1427841775e+08 3.0778800000e+08
1.2900000000e+04 2.7615630542e+03 3.1572469466e+01 4.2810775383e-01 7.3421581986e-03 3.8417558777e+08 1.3181234334e+07 -3.4789216300e+01 1.0214033560e+03 3.1390578063e+08 1.5473583612e+07 -3.9246537385e+01 1.1985084187e+03 -3.7819715772e+28 -6.9870857281e+08 7.5106780000e+25 3.1428416471e+08 3.0778800000e+08
