# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
39200 25429.4942095887 882.954772775706 1.29626005549711 0.0675494290903997 382681163.582895 39990635.9663157 -105.356302671975 1016.50977597714 311819109.350212 46861212.99453 -119.039455883411 1186.36721727495 -3.77441165071145e+28 16724221141.9081 7.50934940000002e+25 315295400.108505 308917300.108505 307780900 16 0.00307993010697588 0
39360 25637.3175621868 893.806816509087 1.30153181318476 0.0681014910467942 382664272.296346 40153273.9432993 -105.78477602977 1016.46490596335 311800024.615825 47051022.9153664 -119.519712589295 1186.25672087541 -3.77441165071145e+28 18313015584.685 7.50934940000002e+25 315304588.016632 308926488.016632 307780900 16 0.0030801224054823 0
39520 25845.9843773683 904.747369418482 1.30680333763251 0.0686557937744542 382647312.455576 40315904.7265108 -106.213230430493 1016.41985382608 311780863.045831 47240815.1220775 -119.999900915613 1186.1457907398 -3.77441165071145e+28 19129156453.588 7.50934940000002e+25 315313811.615028 308935711.615028 307780900 16 0.00308031520999121 0
39680 26055.4946177393 915.776790019544 1.31207462789542 0.069212337176443 382630284.063624 40478528.2868109 -106.641665797344 1016.37461957323 311761624.651193 47430589.5452809 -120.480020590328 1186.03442706082 -3.77441165071145e+28 19779065438.1958 7.50934940000001e+25 315323070.883117 308944970.883117 307780900 16 0.00308050851749908 0
39840 26265.8482457546 926.895436812384 1.31734568302861 0.069771121155432 382613187.12354 40641144.5950618 -107.070082053524 1016.3292032127 311742309.442918 47620346.115625 -120.960071341478 1185.92263003178 -3.77441165071145e+28 21050584152.4945 7.50934940000001e+25 315332365.800251 308954265.800251 307780900 16 0.00308070232499721 0
40000 26477.0452237179 938.103668281511 1.32261650208721 0.0703321456137005 382596021.63839 40803753.6221269 -107.49847912224 1016.28360475244 311722917.432054 47810084.7637894 -121.440052897183 1185.81039984669 -3.77441165071145e+28 22868803162.9677 7.50934940000002e+25 315341696.34571 308963596.34571 307780900 16 0.00308089662947186 0
40160 26689.0855137815 949.401842895765 1.32788708412642 0.0708954104531358 382578787.611248 40966355.338871 -107.926856926697 1016.23782420042 311703448.629696 47999805.4204847 -121.919964985641 1185.69773670016 -3.77441165071146e+28 21015694812.4154 7.50934940000001e+25 315351062.498702 308972962.498702 307780900 16 0.00308109142790426 0
40320 26901.9690779469 960.790319108257 1.33315742820146 0.0714609155752331 382561485.045205 41128949.7161599 -108.35521539011 1016.19186156464 311683903.046978 48189508.0164526 -122.399807335128 1185.58464078748 -3.77441165071146e+28 21147898636.1352 7.50934940000001e+25 315360464.238363 308982364.238363 307780900 16 0.0030812867172707 0
40480 27115.6958780641 972.269455356308 1.3384275333676 0.0720286608810958 382544113.943359 41291536.724861 -108.783554435691 1016.14571685314 311664280.695082 48379192.4824663 -122.879579674004 1185.47111230457 -3.77441165071146e+28 20513539501.8318 7.50934940000001e+25 315369901.543758 308991801.543758 307780900 16 0.00308148249454259 0
40640 27330.2658758323 983.839610061381 1.34369739868014 0.0725986462714349 382526674.308825 41454116.3358427 -109.211873986659 1016.099390074 311644581.585231 48568858.7493301 -123.359281730707 1185.35715144799 -3.77441165071145e+28 23132467406.0723 7.50934940000001e+25 315379374.393882 309001274.393882 307780900 16 0.00308167875668656 0
